product_id,product_name,category,brand,cost_price,selling_price,launch_date
P00001,Samsung Product 1,Electronics,Samsung,372.07,519.38,2025-11-01
P00002,Puma Product 2,Fashion,Puma,55.74,99.92,2022-08-25
P00003,Penguin Product 3,Books,Penguin,297.29,364.31,2021-10-01
P00004,Samsung Product 4,Electronics,Samsung,120.17,202.08,2024-02-02
P00005,Penguin Product 5,Books,Penguin,359.43,632.98,2024-05-16
P00006,Wilson Product 6,Sports,Wilson,227.36,323.43,2026-07-16
P00007,Samsung Product 7,Electronics,Samsung,350.58,516.12,2022-12-22
P00008,Nike Product 8,Fashion,Nike,478.82,703.52,2025-01-06
P00009,Apple Product 9,Electronics,Apple,52.87,99.29,2022-11-15
P00010,HarperCollins Product 10,Books,HarperCollins,404.53,721.59,2023-04-18
P00011,Penguin Product 11,Books,Penguin,486.69,731.41,2024-05-18
P00012,HarperCollins Product 12,Books,HarperCollins,415.56,704.3,2025-05-22
P00013,Bosch Product 13,Home,Bosch,100.18,125.79,2024-05-08
P00014,Adidas Product 14,Fashion,Adidas,492.68,928.33,2022-11-27
P00015,Apple Product 15,Electronics,Apple,142.6,243.64,2024-03-20
P00016,Ikea Product 16,Home,Ikea,188.24,257.44,2024-02-23
P00017,Bosch Product 17,Home,Bosch,468.64,805.32,2024-01-24
P00018,Penguin Product 18,Books,Penguin,269.4,376.04,2026-02-04
P00019,Under Armour Product 19,Sports,Under Armour,138.62,268.97,2022-07-23
P00020,Penguin Product 20,Books,Penguin,343.88,644.53,2025-07-29
P00021,Samsung Product 21,Electronics,Samsung,411.79,759.36,2021-09-07
P00022,Under Armour Product 22,Sports,Under Armour,37.76,72.9,2026-03-29
P00023,HarperCollins Product 23,Books,HarperCollins,110.25,176.33,2025-06-08
P00024,Wilson Product 24,Sports,Wilson,136.12,190.2,2021-10-02
P00025,HarperCollins Product 25,Books,HarperCollins,374.77,578.18,2022-01-17
P00026,HarperCollins Product 26,Books,HarperCollins,184.19,367.99,2022-11-03
P00027,Puma Product 27,Fashion,Puma,249.29,449.88,2024-05-07
P00028,Samsung Product 28,Electronics,Samsung,315.59,578.69,2025-03-17
P00029,Reebok Product 29,Sports,Reebok,36.45,54.87,2022-11-06
P00030,Reebok Product 30,Sports,Reebok,129.45,212.63,2022-06-29
P00031,Sony Product 31,Electronics,Sony,361.76,631.4,2021-12-15
P00032,HarperCollins Product 32,Books,HarperCollins,385.46,567.45,2023-01-16
P00033,Philips Product 33,Home,Philips,83.29,100.16,2021-11-13
P00034,Bosch Product 34,Home,Bosch,382.17,613.82,2022-11-25
P00035,Sony Product 35,Electronics,Sony,152.73,261.35,2021-12-21
P00036,Penguin Product 36,Books,Penguin,80.66,146.0,2023-10-19
P00037,Penguin Product 37,Books,Penguin,301.48,479.62,2025-06-21
P00038,Apple Product 38,Electronics,Apple,439.97,820.69,2023-06-11
P00039,Ikea Product 39,Home,Ikea,33.67,64.05,2023-11-15
P00040,Samsung Product 40,Electronics,Samsung,367.29,680.52,2022-07-06
P00041,Penguin Product 41,Books,Penguin,68.55,108.32,2024-10-05
P00042,Penguin Product 42,Books,Penguin,136.2,258.5,2023-04-26
P00043,Wilson Product 43,Sports,Wilson,464.81,838.62,2023-12-06
P00044,Puma Product 44,Fashion,Puma,159.3,317.98,2023-04-07
P00045,Philips Product 45,Home,Philips,450.31,703.02,2022-06-09
P00046,Nike Product 46,Fashion,Nike,36.69,44.65,2023-01-06
P00047,Penguin Product 47,Books,Penguin,296.28,357.24,2022-06-15
P00048,Samsung Product 48,Electronics,Samsung,38.36,47.0,2023-05-31
P00049,Ikea Product 49,Home,Ikea,259.51,369.23,2024-09-20
P00050,Wilson Product 50,Sports,Wilson,271.92,483.66,2021-11-19
P00051,HarperCollins Product 51,Books,HarperCollins,125.28,197.74,2023-10-26
P00052,Wilson Product 52,Sports,Wilson,51.69,89.28,2024-06-20
P00053,Philips Product 53,Home,Philips,208.5,394.29,2023-09-30
P00054,Sony Product 54,Electronics,Sony,328.46,563.95,2024-06-25
P00055,Apple Product 55,Electronics,Apple,365.47,672.64,2025-05-04
P00056,Samsung Product 56,Electronics,Samsung,99.84,162.64,2025-09-17
P00057,Adidas Product 57,Fashion,Adidas,95.83,150.46,2022-10-07
P00058,Apple Product 58,Electronics,Apple,404.97,763.28,2026-02-12
P00059,Samsung Product 59,Electronics,Samsung,327.81,535.14,2024-08-13
P00060,Samsung Product 60,Electronics,Samsung,463.55,870.99,2024-06-24
P00061,Adidas Product 61,Fashion,Adidas,245.39,336.43,2023-05-07
P00062,Wilson Product 62,Sports,Wilson,86.5,103.95,2024-11-02
P00063,Under Armour Product 63,Sports,Under Armour,463.63,847.56,2023-03-15
P00064,Philips Product 64,Home,Philips,349.81,624.2,2023-04-02
P00065,HarperCollins Product 65,Books,HarperCollins,81.62,117.32,2022-09-23
P00066,Sony Product 66,Electronics,Sony,369.19,461.03,2024-03-02
P00067,Ikea Product 67,Home,Ikea,29.82,47.16,2022-01-26
P00068,Penguin Product 68,Books,Penguin,33.16,53.26,2022-06-24
P00069,Nike Product 69,Fashion,Nike,299.54,521.25,2021-11-02
P00070,Adidas Product 70,Fashion,Adidas,64.34,123.03,2023-06-09
P00071,Puma Product 71,Fashion,Puma,299.29,507.45,2023-01-14
P00072,Reebok Product 72,Sports,Reebok,293.92,475.63,2023-09-04
P00073,Ikea Product 73,Home,Ikea,336.51,488.39,2024-06-23
P00074,Philips Product 74,Home,Philips,69.78,119.77,2023-10-28
P00075,Under Armour Product 75,Sports,Under Armour,464.86,905.82,2025-07-02
P00076,Apple Product 76,Electronics,Apple,312.47,515.7,2025-08-29
P00077,Samsung Product 77,Electronics,Samsung,271.13,435.08,2022-05-16
P00078,Adidas Product 78,Fashion,Adidas,441.03,839.46,2022-07-28
P00079,Philips Product 79,Home,Philips,83.08,155.11,2024-05-10
P00080,Bosch Product 80,Home,Bosch,492.01,908.09,2025-11-07
P00081,Penguin Product 81,Books,Penguin,335.59,551.6,2026-02-21
P00082,Samsung Product 82,Electronics,Samsung,135.91,259.83,2023-07-21
P00083,Penguin Product 83,Books,Penguin,139.81,235.42,2024-06-23
P00084,Ikea Product 84,Home,Ikea,345.31,649.99,2025-04-29
P00085,HarperCollins Product 85,Books,HarperCollins,129.31,249.12,2022-05-27
P00086,Samsung Product 86,Electronics,Samsung,318.97,594.39,2023-08-22
P00087,Samsung Product 87,Electronics,Samsung,170.11,221.93,2022-02-07
P00088,Ikea Product 88,Home,Ikea,371.91,610.43,2021-08-26
P00089,Reebok Product 89,Sports,Reebok,9.79,12.34,2023-10-12
P00090,Puma Product 90,Fashion,Puma,22.83,34.14,2022-01-24
P00091,Penguin Product 91,Books,Penguin,217.74,268.57,2023-03-17
P00092,Ikea Product 92,Home,Ikea,449.97,615.59,2023-02-08
P00093,Puma Product 93,Fashion,Puma,55.88,101.93,2024-10-26
P00094,Reebok Product 94,Sports,Reebok,375.99,729.65,2025-02-04
P00095,Nike Product 95,Fashion,Nike,488.22,902.53,2021-10-30
P00096,Wilson Product 96,Sports,Wilson,93.78,181.89,2023-02-26
P00097,Reebok Product 97,Sports,Reebok,432.71,799.91,2022-05-17
P00098,Ikea Product 98,Home,Ikea,394.75,507.84,2023-02-10
P00099,Apple Product 99,Electronics,Apple,115.1,213.31,2025-08-22
P00100,Under Armour Product 100,Sports,Under Armour,156.07,286.59,2022-08-18
P00101,Nike Product 101,Fashion,Nike,16.71,22.63,2025-10-27
P00102,Philips Product 102,Home,Philips,432.85,854.23,2026-04-24
P00103,Philips Product 103,Home,Philips,322.53,490.16,2023-07-27
P00104,HarperCollins Product 104,Books,HarperCollins,469.92,607.27,2025-04-12
P00105,Ikea Product 105,Home,Ikea,292.39,580.93,2026-08-01
P00106,Samsung Product 106,Electronics,Samsung,300.3,443.41,2022-10-18
P00107,Philips Product 107,Home,Philips,305.07,490.9,2021-12-21
P00108,Reebok Product 108,Sports,Reebok,99.09,122.43,2025-07-10
P00109,Wilson Product 109,Sports,Wilson,262.36,484.11,2022-03-05
P00110,Adidas Product 110,Fashion,Adidas,218.49,428.04,2022-12-14
P00111,Bosch Product 111,Home,Bosch,160.39,301.28,2023-10-31
P00112,Bosch Product 112,Home,Bosch,158.1,241.37,2026-01-07
P00113,Reebok Product 113,Sports,Reebok,151.35,197.03,2021-12-07
P00114,Reebok Product 114,Sports,Reebok,470.48,819.51,2026-03-27
P00115,Puma Product 115,Fashion,Puma,286.71,437.19,2025-10-22
P00116,Apple Product 116,Electronics,Apple,147.02,226.99,2022-09-12
P00117,HarperCollins Product 117,Books,HarperCollins,235.17,365.39,2022-06-03
P00118,Puma Product 118,Fashion,Puma,239.23,459.55,2023-08-31
P00119,Puma Product 119,Fashion,Puma,46.97,75.73,2026-08-10
P00120,HarperCollins Product 120,Books,HarperCollins,51.23,100.49,2022-06-26
P00121,Puma Product 121,Fashion,Puma,158.66,292.77,2021-11-28
P00122,Nike Product 122,Fashion,Nike,27.88,55.4,2022-12-25
P00123,Penguin Product 123,Books,Penguin,230.43,439.87,2024-03-10
P00124,Penguin Product 124,Books,Penguin,360.58,543.46,2026-03-03
P00125,Wilson Product 125,Sports,Wilson,78.05,136.6,2024-05-08
P00126,Apple Product 126,Electronics,Apple,113.33,208.9,2021-12-22
P00127,HarperCollins Product 127,Books,HarperCollins,29.86,41.78,2026-07-18
P00128,Apple Product 128,Electronics,Apple,71.0,111.59,2024-07-03
P00129,HarperCollins Product 129,Books,HarperCollins,475.27,909.26,2025-11-26
P00130,HarperCollins Product 130,Books,HarperCollins,416.13,681.74,2022-07-10
P00131,Puma Product 131,Fashion,Puma,431.44,673.07,2025-04-10
P00132,Puma Product 132,Fashion,Puma,142.27,259.24,2024-06-06
P00133,Reebok Product 133,Sports,Reebok,123.43,191.55,2024-01-08
P00134,Ikea Product 134,Home,Ikea,139.5,203.08,2021-09-28
P00135,Penguin Product 135,Books,Penguin,73.5,101.8,2022-03-24
P00136,Puma Product 136,Fashion,Puma,110.91,169.9,2021-11-01
P00137,Bosch Product 137,Home,Bosch,235.63,294.49,2025-07-28
P00138,Under Armour Product 138,Sports,Under Armour,452.9,755.1,2022-09-21
P00139,Sony Product 139,Electronics,Sony,193.29,232.86,2026-07-22
P00140,Philips Product 140,Home,Philips,377.97,711.63,2021-08-29
P00141,Reebok Product 141,Sports,Reebok,375.02,613.87,2025-08-13
P00142,Penguin Product 142,Books,Penguin,246.67,349.86,2022-06-18
P00143,Wilson Product 143,Sports,Wilson,197.48,342.65,2021-10-30
P00144,Reebok Product 144,Sports,Reebok,86.7,136.46,2023-11-16
P00145,Puma Product 145,Fashion,Puma,269.39,518.72,2026-05-15
P00146,Penguin Product 146,Books,Penguin,46.55,71.82,2023-02-13
P00147,Wilson Product 147,Sports,Wilson,29.89,44.93,2023-01-14
P00148,Adidas Product 148,Fashion,Adidas,166.79,301.72,2021-08-25
P00149,Under Armour Product 149,Sports,Under Armour,377.24,703.76,2025-10-11
P00150,Ikea Product 150,Home,Ikea,237.8,427.85,2026-04-22
P00151,Apple Product 151,Electronics,Apple,115.99,145.56,2025-05-15
P00152,Samsung Product 152,Electronics,Samsung,475.06,645.84,2023-04-04
P00153,Sony Product 153,Electronics,Sony,80.43,104.64,2022-09-20
P00154,Sony Product 154,Electronics,Sony,474.14,745.36,2025-10-06
P00155,Philips Product 155,Home,Philips,88.06,148.45,2024-04-04
P00156,Samsung Product 156,Electronics,Samsung,482.54,620.78,2026-05-08
P00157,Apple Product 157,Electronics,Apple,290.02,558.7,2022-06-15
P00158,Under Armour Product 158,Sports,Under Armour,471.03,639.97,2022-03-24
P00159,Penguin Product 159,Books,Penguin,55.44,100.79,2025-07-29
P00160,Penguin Product 160,Books,Penguin,399.13,659.66,2023-11-22
P00161,Apple Product 161,Electronics,Apple,268.71,464.66,2023-09-02
P00162,Sony Product 162,Electronics,Sony,325.53,393.93,2026-04-10
P00163,Under Armour Product 163,Sports,Under Armour,57.24,112.68,2026-06-14
P00164,Reebok Product 164,Sports,Reebok,80.73,108.25,2026-05-12
P00165,HarperCollins Product 165,Books,HarperCollins,309.88,599.83,2022-05-06
P00166,Under Armour Product 166,Sports,Under Armour,220.61,393.75,2022-02-27
P00167,Philips Product 167,Home,Philips,426.6,795.43,2023-10-04
P00168,Apple Product 168,Electronics,Apple,441.41,615.81,2022-08-26
P00169,Reebok Product 169,Sports,Reebok,307.11,461.65,2021-10-01
P00170,Apple Product 170,Electronics,Apple,426.22,573.47,2023-01-11
P00171,Adidas Product 171,Fashion,Adidas,399.93,588.81,2026-05-19
P00172,HarperCollins Product 172,Books,HarperCollins,280.12,451.92,2025-03-17
P00173,Nike Product 173,Fashion,Nike,124.47,189.83,2024-01-20
P00174,Penguin Product 174,Books,Penguin,346.85,595.45,2025-11-07
P00175,Under Armour Product 175,Sports,Under Armour,397.5,506.59,2024-04-02
P00176,Adidas Product 176,Fashion,Adidas,347.43,502.02,2025-12-02
P00177,HarperCollins Product 177,Books,HarperCollins,239.26,388.73,2024-02-23
P00178,Reebok Product 178,Sports,Reebok,277.44,411.01,2025-11-24
P00179,Under Armour Product 179,Sports,Under Armour,156.78,217.05,2025-05-03
P00180,Adidas Product 180,Fashion,Adidas,64.18,104.53,2024-01-16
P00181,Nike Product 181,Fashion,Nike,112.11,177.96,2022-03-26
P00182,HarperCollins Product 182,Books,HarperCollins,490.35,915.04,2022-03-07
P00183,Ikea Product 183,Home,Ikea,183.64,264.77,2024-11-04
P00184,Penguin Product 184,Books,Penguin,140.78,278.66,2021-10-04
P00185,HarperCollins Product 185,Books,HarperCollins,350.22,455.64,2025-05-19
P00186,Wilson Product 186,Sports,Wilson,437.0,725.09,2024-09-28
P00187,Under Armour Product 187,Sports,Under Armour,223.03,300.53,2025-04-20
P00188,Apple Product 188,Electronics,Apple,470.83,744.94,2021-09-30
P00189,Apple Product 189,Electronics,Apple,248.41,412.76,2022-02-27
P00190,Samsung Product 190,Electronics,Samsung,78.85,130.12,2026-07-22
P00191,Ikea Product 191,Home,Ikea,496.99,643.48,2025-11-09
P00192,Reebok Product 192,Sports,Reebok,300.08,508.56,2022-06-19
P00193,HarperCollins Product 193,Books,HarperCollins,228.0,354.35,2024-04-18
P00194,HarperCollins Product 194,Books,HarperCollins,156.16,264.98,2026-04-13
P00195,Penguin Product 195,Books,Penguin,474.06,647.68,2023-05-29
P00196,Adidas Product 196,Fashion,Adidas,331.91,440.0,2026-04-25
P00197,Puma Product 197,Fashion,Puma,42.16,50.68,2025-08-27
P00198,Reebok Product 198,Sports,Reebok,298.94,428.38,2025-05-13
P00199,Adidas Product 199,Fashion,Adidas,354.94,625.54,2024-07-19
P00200,Wilson Product 200,Sports,Wilson,345.26,669.5,2026-01-10
P00201,Penguin Product 201,Books,Penguin,215.44,352.38,2022-01-13
P00202,Adidas Product 202,Fashion,Adidas,414.18,520.68,2025-04-23
P00203,Adidas Product 203,Fashion,Adidas,299.55,556.98,2026-05-09
P00204,Philips Product 204,Home,Philips,66.56,116.54,2024-10-08
P00205,Under Armour Product 205,Sports,Under Armour,252.73,403.11,2023-08-03
P00206,Sony Product 206,Electronics,Sony,24.73,38.22,2024-07-23
P00207,Bosch Product 207,Home,Bosch,128.93,164.14,2022-12-21
P00208,Penguin Product 208,Books,Penguin,499.79,868.55,2023-05-31
P00209,Bosch Product 209,Home,Bosch,24.91,44.96,2022-07-07
P00210,Reebok Product 210,Sports,Reebok,327.5,633.01,2026-08-13
P00211,Puma Product 211,Fashion,Puma,220.76,408.71,2025-09-15
P00212,Apple Product 212,Electronics,Apple,177.24,259.95,2022-08-29
P00213,Samsung Product 213,Electronics,Samsung,168.25,295.27,2024-07-28
P00214,Bosch Product 214,Home,Bosch,472.87,875.21,2024-08-04
P00215,Penguin Product 215,Books,Penguin,230.14,334.07,2022-07-23
P00216,Ikea Product 216,Home,Ikea,485.24,739.19,2026-06-21
P00217,Penguin Product 217,Books,Penguin,330.54,540.13,2023-03-27
P00218,Wilson Product 218,Sports,Wilson,97.85,145.74,2022-11-23
P00219,Reebok Product 219,Sports,Reebok,223.81,277.81,2026-03-24
